"Domain","Category ID","Category","Category definition","Category prominence n (%)","CSM dimension","Open code (Chinese)","Open code (English)","Open code status","Open code definition (CN)","Inclusion criteria (CN)","Key keywords (CN)"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-5","Ablation appraisal and provider choice","Appraisal of ablation together with the burdens that accompany appraisal itself: indications for and outcomes of radiofrequency and microwave ablation; the psychological burden generated by unnecessary screening; and guidance on identifying an appropriate institution or specialist.","51 (40.5)","Cure/Control (beliefs); Emotional representation","就医机构选择导航","choosing an institution or specialist","in initial coding manual","寻找合适医疗机构的指导","包括：医院选择、专科推荐","就医/选医院/大医院/专科/找医生"
"Domain 4: Evidence appraisal and critique of clinical practice (n = 126)","D4-5","Ablation appraisal and provider choice","Appraisal of ablation together with the burdens that accompany appraisal itself: indications for and outcomes of radiofrequency and microwave ablation; the psychological burden generated by unnecessary screening; and guidance on identifying an appropriate institution or specialist.","51 (40.5)","Cure/Control (beliefs); Emotional representation","诊断焦虑与心理负担","screening-related anxiety and psychological burden","in initial coding manual","不必要筛查导致的心理负担","包括：焦虑、过度担心","焦虑/担心/害怕/恐惧/心理负担"
"Domain 5: Care-seeking experience (n = 277)","D5-1","Surgical and ablation treatment experience","First-person accounts of undergoing treatment: preparation, procedure and recovery for open surgery including total, hemi- and endoscopic thyroidectomy; and the equivalent full course for radiofrequency or microwave ablation.","264 (95.3)","Cure/Control (action); Consequences","外科手术经历叙述","account of undergoing open surgery","in initial coding manual","外科手术的准备、过程、康复叙述","包括：全切/半切、腔镜手术经历","手术/全切/半切/腔镜/机器人"
"Domain 5: Care-seeking experience (n = 277)","D5-1","Surgical and ablation treatment experience","First-person accounts of undergoing treatment: preparation, procedure and recovery for open surgery including total, hemi- and endoscopic thyroidectomy; and the equivalent full course for radiofrequency or microwave ablation.","264 (95.3)","Cure/Control (action); Consequences","消融手术全程经历","full account of undergoing ablation","in initial coding manual","消融手术的准备、过程、康复经历","包括：射频消融、微波消融全程","消融/射频/微波/热消融/消融手术"
"Domain 5: Care-seeking experience (n = 277)","D5-2","Navigation and logistics","The practical work of obtaining care: hospital processes including appointment booking, admission and discharge; choice between institutions and between regions; and the passing on of practical advice to other patients.","182 (65.7)","Cure/Control (action); Illness identity","就医流程与医院导航","hospital processes and navigation","in initial coding manual","医院就诊流程和注意事项分享","包括：挂号、住院、出院流程","挂号/预约/门诊/住院/出院/床位"
"Domain 5: Care-seeking experience (n = 277)","D5-2","Navigation and logistics","The practical work of obtaining care: hospital processes including appointment booking, admission and discharge; choice between institutions and between regions; and the passing on of practical advice to other patients.","182 (65.7)","Cure/Control (action); Illness identity","医院选择与地域","choice of hospital and region","in initial coding manual","不同地区和医院的选择讨论","包括：大城市三甲、地方医院比较","私立/公立/北京/上海/广州/协和/华西"
"Domain 5: Care-seeking experience (n = 277)","D5-2","Navigation and logistics","The practical work of obtaining care: hospital processes including appointment booking, admission and discharge; choice between institutions and between regions; and the passing on of practical advice to other patients.","182 (65.7)","Cure/Control (action); Illness identity","就医经验分享","sharing practical advice with peers","in initial coding manual","向他人分享就医经历和建议","包括：给病友的建议、经验总结","建议/经验/分享/病友/参考/推荐"
"Domain 5: Care-seeking experience (n = 277)","D5-3","Provider interaction and coordination","The clinical encounter and its practical accompaniments: communication with clinicians and nursing staff; itemised treatment costs and insurance reimbursement; and bodily experience during the procedure including pain, anaesthesia and discomfort.","151 (54.5)","Illness identity; Cure/Control (action)","医患沟通与互动","clinician-patient communication","in initial coding manual","与医护人员沟通的经历","包括：医生建议、护患关系","医生/主任/教授/护士/医生说"
"Domain 5: Care-seeking experience (n = 277)","D5-3","Provider interaction and coordination","The clinical encounter and its practical accompaniments: communication with clinicians and nursing staff; itemised treatment costs and insurance reimbursement; and bodily experience during the procedure including pain, anaesthesia and discomfort.","151 (54.5)","Illness identity; Cure/Control (action)","医疗费用与医保报销","treatment costs and insurance reimbursement","in initial coding manual","治疗费用明细和医保报销经历","包括：费用清单、自费比例","费用/医保/自费/报销/多少钱/材料费"
"Domain 5: Care-seeking experience (n = 277)","D5-3","Provider interaction and coordination","The clinical encounter and its practical accompaniments: communication with clinicians and nursing staff; itemised treatment costs and insurance reimbursement; and bodily experience during the procedure including pain, anaesthesia and discomfort.","151 (54.5)","Illness identity; Cure/Control (action)","治疗过程躯体体验","bodily experience during the procedure","in initial coding manual","治疗过程中的身体感受","包括：疼痛、麻醉体验、不适","疼痛/麻醉/不舒服/副作用/并发症"
"Domain 5: Care-seeking experience (n = 277)","D5-4","Service experience and costs","How a treatment plan is arrived at within the service: comparison of options and the grounds for choosing between them; and the conduct and reporting of diagnostic investigations such as ultrasound, fine-needle aspiration and thyroid function testing.","75 (27.1)","Cure/Control (action)","治疗方案选择过程","arriving at a treatment plan","in initial coding manual","在多种治疗方案中做选择的过程","包括：方案比较、决策依据","选择/决定/纠结/考虑/方案/哪家医院"
"Domain 5: Care-seeking experience (n = 277)","D5-4","Service experience and costs","How a treatment plan is arrived at within the service: comparison of options and the grounds for choosing between them; and the conduct and reporting of diagnostic investigations such as ultrasound, fine-needle aspiration and thyroid function testing.","75 (27.1)","Cure/Control (action)","诊断检查流程与结果","diagnostic work-up process and results","in initial coding manual","诊断性检查的流程和结果经历","包括：B超、穿刺、甲功检查","B超/超声/穿刺/活检/甲功/化验"
"Domain 5: Care-seeking experience (n = 277)","D5-5","Emotional response and adjustment","Emotion arising within the care-seeking process itself, including tension, anxiety and fear during consultations and procedures, together with the management of follow-up once treatment is complete.","13 (4.7)","Emotional representation; Cure/Control (action)","就医过程心理情绪","emotions during care-seeking","in initial coding manual","就医过程中的心理情绪体验","包括：紧张、焦虑、恐惧、担心","心理/焦虑/害怕/担心/紧张/崩溃"
"Domain 5: Care-seeking experience (n = 277)","D5-5","Emotional response and adjustment","Emotion arising within the care-seeking process itself, including tension, anxiety and fear during consultations and procedures, together with the management of follow-up once treatment is complete.","13 (4.7)","Emotional representation; Cure/Control (action)","治疗后随访管理","managing post-treatment follow-up","in initial coding manual","治疗结束后的复查随访管理","包括：定期复查、用药监测","优甲乐/TSH/复查/随访/定期复查"
